1,1,0,0.6
1,10,40,4.7
1,100,55,18.32
1,1000,56.6,18.07
1,10000,57.02,16.19
1,100000,56.79,26.36
1,500000,57.01,38.1
1,1000000,56.91,37.79
2,1,0,0.35
2,10,30,2.94
2,100,53,21.27
2,1000,57,34.18
2,10000,56.47,29.73
2,100000,56.85,35.31
2,500000,56.94,64.65
2,1000000,57.05,64.1
4,1,0,0.23
4,10,70,2.79
4,100,61,28.17
4,1000,58.1,65.96
4,10000,57.24,61.54
4,100000,56.95,66.31
4,500000,56.9,104.75
4,1000000,56.92,114.61
6,1,0,0.25
6,10,50,2.21
6,100,51,20.01
6,1000,56.9,92.86
6,10000,55.94,91.98
6,100000,56.85,92.94
6,500000,56.97,138.1
6,1000000,57.04,198.49
8,1,100,0.23
8,10,50,2.18
8,100,54,20.23
8,1000,57.3,100.63
8,10000,56.9,127.27
8,100000,57.26,124.51
8,500000,57.02,169.36
8,1000000,57.04,217.54
